,Country,Year,Value
23,Austria,1990,23.83
24,Austria,1995,22.88
25,Austria,2000,19.41
26,Austria,2001,18.31
27,Austria,2002,18.76
28,Austria,2003,19.28
29,Austria,2004,16.89
30,Austria,2005,18.44
31,Austria,2006,18.86
32,Austria,2007,16.31
33,Austria,2008,15.44
34,Austria,2009,16.76
35,Austria,2010,15.87
36,Austria,2011,16.57
37,Austria,2012,14.89
38,Austria,2013,14.84
39,Austria,2014,13.11
40,Austria,2015,13.77
41,Austria,2016,12.66
42,Austria,2017,12.28
43,Austria,2018,12.72
44,Austria,2019,11.58
45,Austria,2020,11.03
46,Belgium,1990,23.11
47,Belgium,1995,21.88
48,Belgium,2000,19.58
49,Belgium,2001,18.09
50,Belgium,2002,18.05
51,Belgium,2003,20.39
52,Belgium,2004,18.03
53,Belgium,2005,17.52
54,Belgium,2006,19.35
55,Belgium,2007,17.33
56,Belgium,2008,16.53
57,Belgium,2009,16.8
58,Belgium,2010,16.52
59,Belgium,2011,16.43
60,Belgium,2012,15.27
61,Belgium,2013,14.42
62,Belgium,2014,12.95
63,Belgium,2015,13.39
64,Belgium,2016,12.44
65,Belgium,2017,12.82
66,Belgium,2018,12.54
67,Belgium,2019,11.25
68,Belgium,2020,11.25
92,Czech Republic,1990,26.19
93,Czech Republic,1995,24.47
94,Czech Republic,2000,20.7
95,Czech Republic,2001,21.36
96,Czech Republic,2002,23.71
97,Czech Republic,2003,24.58
98,Czech Republic,2004,21.19
99,Czech Republic,2005,22.56
100,Czech Republic,2006,23.52
101,Czech Republic,2007,18.67
102,Czech Republic,2008,18.52
103,Czech Republic,2009,19.56
104,Czech Republic,2010,20.95
105,Czech Republic,2011,21.24
106,Czech Republic,2012,19.49
107,Czech Republic,2013,19.13
108,Czech Republic,2014,18.56
109,Czech Republic,2015,18.0
110,Czech Republic,2016,17.18
111,Czech Republic,2017,17.14
112,Czech Republic,2018,17.56
113,Czech Republic,2019,14.42
114,Czech Republic,2020,14.29
115,Denmark,1990,17.22
116,Denmark,1995,15.61
117,Denmark,2000,15.64
118,Denmark,2001,13.29
119,Denmark,2002,14.47
120,Denmark,2003,16.02
121,Denmark,2004,13.28
122,Denmark,2005,14.12
123,Denmark,2006,15.03
124,Denmark,2007,14.02
125,Denmark,2008,11.9
126,Denmark,2009,12.22
127,Denmark,2010,12.83
128,Denmark,2011,13.36
129,Denmark,2012,10.82
130,Denmark,2013,10.41
131,Denmark,2014,10.81
132,Denmark,2015,10.24
133,Denmark,2016,9.24
134,Denmark,2017,10.09
135,Denmark,2018,10.33
136,Denmark,2019,9.59
137,Denmark,2020,9.05
138,Finland,1990,9.29
139,Finland,1995,8.71
140,Finland,2000,8.15
141,Finland,2001,7.53
142,Finland,2002,7.55
143,Finland,2003,8.1
144,Finland,2004,7.34
145,Finland,2005,7.67
146,Finland,2006,8.47
147,Finland,2007,7.32
148,Finland,2008,6.95
149,Finland,2009,7.0
