,Country,Variable,Year,Unit,Value
0,Latvia,Mortality from exposure to ambient PM2.5,1990,Per 1 000 000 inhabitants,993.94
1,Latvia,Mortality from exposure to ambient PM2.5,1991,Per 1 000 000 inhabitants,1009.85
2,Latvia,Mortality from exposure to ambient PM2.5,1992,Per 1 000 000 inhabitants,1048.59
3,Latvia,Mortality from exposure to ambient PM2.5,1993,Per 1 000 000 inhabitants,1181.37
4,Latvia,Mortality from exposure to ambient PM2.5,1994,Per 1 000 000 inhabitants,1278.66
5,Latvia,Mortality from exposure to ambient PM2.5,1995,Per 1 000 000 inhabitants,1192.72
6,Latvia,Mortality from exposure to ambient PM2.5,1996,Per 1 000 000 inhabitants,1022.56
7,Latvia,Mortality from exposure to ambient PM2.5,1997,Per 1 000 000 inhabitants,968.07
8,Latvia,Mortality from exposure to ambient PM2.5,1998,Per 1 000 000 inhabitants,984.47
9,Latvia,Mortality from exposure to ambient PM2.5,1999,Per 1 000 000 inhabitants,918.62
10,Latvia,Mortality from exposure to ambient PM2.5,2000,Per 1 000 000 inhabitants,888.39
11,Latvia,Mortality from exposure to ambient PM2.5,2001,Per 1 000 000 inhabitants,937.02
12,Latvia,Mortality from exposure to ambient PM2.5,2002,Per 1 000 000 inhabitants,929.93
13,Latvia,Mortality from exposure to ambient PM2.5,2003,Per 1 000 000 inhabitants,925.71
14,Latvia,Mortality from exposure to ambient PM2.5,2004,Per 1 000 000 inhabitants,921.06
15,Latvia,Mortality from exposure to ambient PM2.5,2005,Per 1 000 000 inhabitants,958.4
16,Latvia,Mortality from exposure to ambient PM2.5,2006,Per 1 000 000 inhabitants,1011.48
17,Latvia,Mortality from exposure to ambient PM2.5,2007,Per 1 000 000 inhabitants,1005.82
18,Latvia,Mortality from exposure to ambient PM2.5,2008,Per 1 000 000 inhabitants,952.9
19,Latvia,Mortality from exposure to ambient PM2.5,2009,Per 1 000 000 inhabitants,928.0
20,Latvia,Mortality from exposure to ambient PM2.5,2010,Per 1 000 000 inhabitants,923.9
21,Latvia,Mortality from exposure to ambient PM2.5,2011,Per 1 000 000 inhabitants,887.61
22,Latvia,Mortality from exposure to ambient PM2.5,2012,Per 1 000 000 inhabitants,842.57
23,Latvia,Mortality from exposure to ambient PM2.5,2013,Per 1 000 000 inhabitants,805.97
24,Latvia,Mortality from exposure to ambient PM2.5,2014,Per 1 000 000 inhabitants,732.21
25,Latvia,Mortality from exposure to ambient PM2.5,2015,Per 1 000 000 inhabitants,670.69
26,Latvia,Mortality from exposure to ambient PM2.5,2016,Per 1 000 000 inhabitants,593.09
27,Latvia,Mortality from exposure to ambient PM2.5,2017,Per 1 000 000 inhabitants,555.92
28,Latvia,Mortality from exposure to ambient PM2.5,2018,Per 1 000 000 inhabitants,566.87
29,Latvia,Mortality from exposure to ambient PM2.5,2019,Per 1 000 000 inhabitants,586.19
30,Morocco,Mortality from exposure to ambient PM2.5,1990,Per 1 000 000 inhabitants,298.23
31,Morocco,Mortality from exposure to ambient PM2.5,1991,Per 1 000 000 inhabitants,305.87
32,Morocco,Mortality from exposure to ambient PM2.5,1992,Per 1 000 000 inhabitants,321.07
33,Morocco,Mortality from exposure to ambient PM2.5,1993,Per 1 000 000 inhabitants,336.06
34,Morocco,Mortality from exposure to ambient PM2.5,1994,Per 1 000 000 inhabitants,344.83
35,Morocco,Mortality from exposure to ambient PM2.5,1995,Per 1 000 000 inhabitants,358.04
36,Morocco,Mortality from exposure to ambient PM2.5,1996,Per 1 000 000 inhabitants,372.84
37,Morocco,Mortality from exposure to ambient PM2.5,1997,Per 1 000 000 inhabitants,395.09
38,Morocco,Mortality from exposure to ambient PM2.5,1998,Per 1 000 000 inhabitants,417.06
39,Morocco,Mortality from exposure to ambient PM2.5,1999,Per 1 000 000 inhabitants,442.16
40,Morocco,Mortality from exposure to ambient PM2.5,2000,Per 1 000 000 inhabitants,447.58
41,Morocco,Mortality from exposure to ambient PM2.5,2001,Per 1 000 000 inhabitants,456.37
42,Morocco,Mortality from exposure to ambient PM2.5,2002,Per 1 000 000 inhabitants,466.15
43,Morocco,Mortality from exposure to ambient PM2.5,2003,Per 1 000 000 inhabitants,487.71
44,Morocco,Mortality from exposure to ambient PM2.5,2004,Per 1 000 000 inhabitants,501.99
45,Morocco,Mortality from exposure to ambient PM2.5,2005,Per 1 000 000 inhabitants,518.27
46,Morocco,Mortality from exposure to ambient PM2.5,2006,Per 1 000 000 inhabitants,535.82
47,Morocco,Mortality from exposure to ambient PM2.5,2007,Per 1 000 000 inhabitants,554.6
48,Morocco,Mortality from exposure to ambient PM2.5,2008,Per 1 000 000 inhabitants,570.25
49,Morocco,Mortality from exposure to ambient PM2.5,2009,Per 1 000 000 inhabitants,583.34
50,Morocco,Mortality from exposure to ambient PM2.5,2010,Per 1 000 000 inhabitants,592.62
51,Morocco,Mortality from exposure to ambient PM2.5,2011,Per 1 000 000 inhabitants,598.01
52,Morocco,Mortality from exposure to ambient PM2.5,2012,Per 1 000 000 inhabitants,606.43
53,Morocco,Mortality from exposure to ambient PM2.5,2013,Per 1 000 000 inhabitants,652.39
54,Morocco,Mortality from exposure to ambient PM2.5,2014,Per 1 000 000 inhabitants,656.06
55,Morocco,Mortality from exposure to ambient PM2.5,2015,Per 1 000 000 inhabitants,663.42
56,Morocco,Mortality from exposure to ambient PM2.5,2016,Per 1 000 000 inhabitants,684.83
57,Morocco,Mortality from exposure to ambient PM2.5,2017,Per 1 000 000 inhabitants,710.16
58,Morocco,Mortality from exposure to ambient PM2.5,2018,Per 1 000 000 inhabitants,728.5
59,Morocco,Mortality from exposure to ambient PM2.5,2019,Per 1 000 000 inhabitants,742.25
60,Finland,Mortality from exposure to ambient PM2.5,1990,Per 1 000 000 inhabitants,269.21
61,Finland,Mortality from exposure to ambient PM2.5,1991,Per 1 000 000 inhabitants,256.36
62,Finland,Mortality from exposure to ambient PM2.5,1992,Per 1 000 000 inhabitants,247.77
63,Finland,Mortality from exposure to ambient PM2.5,1993,Per 1 000 000 inhabitants,237.33
64,Finland,Mortality from exposure to ambient PM2.5,1994,Per 1 000 000 inhabitants,219.79
65,Finland,Mortality from exposure to ambient PM2.5,1995,Per 1 000 000 inhabitants,212.92
66,Finland,Mortality from exposure to ambient PM2.5,1996,Per 1 000 000 inhabitants,204.03
67,Finland,Mortality from exposure to ambient PM2.5,1997,Per 1 000 000 inhabitants,195.59
68,Finland,Mortality from exposure to ambient PM2.5,1998,Per 1 000 000 inhabitants,186.18
69,Finland,Mortality from exposure to ambient PM2.5,1999,Per 1 000 000 inhabitants,177.2
70,Finland,Mortality from exposure to ambient PM2.5,2000,Per 1 000 000 inhabitants,169.57
71,Finland,Mortality from exposure to ambient PM2.5,2001,Per 1 000 000 inhabitants,160.87
72,Finland,Mortality from exposure to ambient PM2.5,2002,Per 1 000 000 inhabitants,154.55
73,Finland,Mortality from exposure to ambient PM2.5,2003,Per 1 000 000 inhabitants,147.34
74,Finland,Mortality from exposure to ambient PM2.5,2004,Per 1 000 000 inhabitants,140.06
75,Finland,Mortality from exposure to ambient PM2.5,2005,Per 1 000 000 inhabitants,135.09
76,Finland,Mortality from exposure to ambient PM2.5,2006,Per 1 000 000 inhabitants,131.92
77,Finland,Mortality from exposure to ambient PM2.5,2007,Per 1 000 000 inhabitants,131.86
78,Finland,Mortality from exposure to ambient PM2.5,2008,Per 1 000 000 inhabitants,131.27
79,Finland,Mortality from exposure to ambient PM2.5,2009,Per 1 000 000 inhabitants,131.29
80,Finland,Mortality from exposure to ambient PM2.5,2010,Per 1 000 000 inhabitants,130.49
81,Finland,Mortality from exposure to ambient PM2.5,2011,Per 1 000 000 inhabitants,123.06
82,Finland,Mortality from exposure to ambient PM2.5,2012,Per 1 000 000 inhabitants,109.99
83,Finland,Mortality from exposure to ambient PM2.5,2013,Per 1 000 000 inhabitants,94.03
84,Finland,Mortality from exposure to ambient PM2.5,2014,Per 1 000 000 inhabitants,78.6
85,Finland,Mortality from exposure to ambient PM2.5,2015,Per 1 000 000 inhabitants,67.3
86,Finland,Mortality from exposure to ambient PM2.5,2016,Per 1 000 000 inhabitants,60.03
87,Finland,Mortality from exposure to ambient PM2.5,2017,Per 1 000 000 inhabitants,56.84
88,Finland,Mortality from exposure to ambient PM2.5,2018,Per 1 000 000 inhabitants,60.25
89,Finland,Mortality from exposure to ambient PM2.5,2019,Per 1 000 000 inhabitants,69.65
90,Qatar,Mortality from exposure to ambient PM2.5,1990,Per 1 000 000 inhabitants,365.18
91,Qatar,Mortality from exposure to ambient PM2.5,1991,Per 1 000 000 inhabitants,376.09
92,Qatar,Mortality from exposure to ambient PM2.5,1992,Per 1 000 000 inhabitants,386.82
93,Qatar,Mortality from exposure to ambient PM2.5,1993,Per 1 000 000 inhabitants,393.47
94,Qatar,Mortality from exposure to ambient PM2.5,1994,Per 1 000 000 inhabitants,379.43
95,Qatar,Mortality from exposure to ambient PM2.5,1995,Per 1 000 000 inhabitants,378.03
96,Qatar,Mortality from exposure to ambient PM2.5,1996,Per 1 000 000 inhabitants,403.09
97,Qatar,Mortality from exposure to ambient PM2.5,1997,Per 1 000 000 inhabitants,416.85
98,Qatar,Mortality from exposure to ambient PM2.5,1998,Per 1 000 000 inhabitants,418.5
99,Qatar,Mortality from exposure to ambient PM2.5,1999,Per 1 000 000 inhabitants,412.94
