,Country,VAR,Year,Unit,Value,Variable_Life expectancy at birth,Variable_Net migration,Variable_Population,"Variable_Population density, inhabitants per km2","Variable_Population, ages 0-14, % total","Variable_Population, ages 15-64, % total","Variable_Population, ages 65 and above, % total",Variable_Real GDP,Variable_Real GDP per capita,"Variable_Total fertility rate, children per woman","Variable_Value added in agriculture, % of total value added","Variable_Value added in industry, % of total value added","Variable_Value added in services, % of total value added","Variable_Women, % total population","Variable_Population, ages 65 and above, % total_2",	Variable_Life expectancy at birth,"('Variable_Population, ages 65 and above, % total', 'Variable_Real GDP')"
96,Austria,GDP_RCAP,1990,US Dollar,35361.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,35361.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,Austria,GDP_RCAP,1991,US Dollar,36215.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,36215.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Austria,GDP_RCAP,1992,US Dollar,36568.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,36568.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Austria,GDP_RCAP,1993,US Dollar,36459.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,36459.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,Austria,GDP_RCAP,1994,US Dollar,37191.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,37191.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,Austria,GDP_RCAP,1995,US Dollar,38125.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38125.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Austria,GDP_RCAP,1996,US Dollar,38968.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38968.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,Austria,GDP_RCAP,1997,US Dollar,39739.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,39739.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Austria,GDP_RCAP,1998,US Dollar,41117.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,41117.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Austria,GDP_RCAP,1999,US Dollar,42497.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,42497.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Austria,GDP_RCAP,2000,US Dollar,43826.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,43826.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,Austria,GDP_RCAP,2001,US Dollar,44212.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44212.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Austria,GDP_RCAP,2002,US Dollar,44720.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44720.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Austria,GDP_RCAP,2003,US Dollar,44940.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44940.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,Austria,GDP_RCAP,2004,US Dollar,45880.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45880.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,Austria,GDP_RCAP,2005,US Dollar,46591.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,46591.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,Austria,GDP_RCAP,2006,US Dollar,47952.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,47952.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,Austria,GDP_RCAP,2007,US Dollar,49576.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49576.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,Austria,GDP_RCAP,2008,US Dollar,50141.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50141.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,Austria,GDP_RCAP,2009,US Dollar,48138.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,48138.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Austria,GDP_RCAP,2010,US Dollar,48907.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,48907.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Austria,GDP_RCAP,2011,US Dollar,50172.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50172.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,Austria,GDP_RCAP,2012,US Dollar,50287.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50287.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,Austria,GDP_RCAP,2013,US Dollar,49998.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49998.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,Austria,GDP_RCAP,2014,US Dollar,49935.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49935.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,Austria,GDP_RCAP,2015,US Dollar,49942.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49942.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,Austria,GDP_RCAP,2016,US Dollar,50292.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50292.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,Austria,GDP_RCAP,2017,US Dollar,51105.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,51105.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,Austria,GDP_RCAP,2018,US Dollar,52092.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,52092.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,Austria,GDP_RCAP,2019,US Dollar,52645.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,52645.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,Austria,GDP_RCAP,2020,US Dollar,49030.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49030.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,Austria,GDP_RCAP,2021,US Dollar,51066.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,51066.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,Austria,POPDEN,1990,Inhabitants,91.53,0.0,0.0,0.0,91.53,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,Austria,POPDEN,1991,Inhabitants,92.45,0.0,0.0,0.0,92.45,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,Austria,POPDEN,1992,Inhabitants,93.48,0.0,0.0,0.0,93.48,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,Austria,POPDEN,1993,Inhabitants,94.25,0.0,0.0,0.0,94.25,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,Austria,POPDEN,1994,Inhabitants,94.61,0.0,0.0,0.0,94.61,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,Austria,POPDEN,1995,Inhabitants,94.76,0.0,0.0,0.0,94.76,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,Austria,POPDEN,1996,Inhabitants,94.89,0.0,0.0,0.0,94.89,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,Austria,POPDEN,1997,Inhabitants,94.99,0.0,0.0,0.0,94.99,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,Austria,POPDEN,1998,Inhabitants,95.1,0.0,0.0,0.0,95.1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
