pollution_de_l_air,titre,date_de_publication,publié_dans,publié_dansLabel
http://www.wikidata.org/entity/Q28662132,An association between air pollution and daily outpatient visits for respiratory disease in a heavy industry area,2013-01-01T00:00:00Z,http://www.wikidata.org/entity/Q564954,PLOS ONE
http://www.wikidata.org/entity/Q28662305,"Particulate air pollution, ambulatory heart rate variability, and cardiac arrhythmia in retirement community residents with coronary artery disease",2013-07-09T00:00:00Z,http://www.wikidata.org/entity/Q1345904,Environmental Health Perspectives
http://www.wikidata.org/entity/Q28678689,The emerging role of outdoor and indoor air pollution in cardiovascular disease,2013-08-01T00:00:00Z,http://www.wikidata.org/entity/Q26842650,North American journal of medical sciences
http://www.wikidata.org/entity/Q28679162,Air pollution and newly diagnostic autism spectrum disorders: a population-based cohort study in Taiwan,2013-01-01T00:00:00Z,http://www.wikidata.org/entity/Q564954,PLOS ONE
http://www.wikidata.org/entity/Q28679736,Evidence of recovery of Juniperus virginiana trees from sulfur pollution after the Clean Air Act,2013-09-17T00:00:00Z,http://www.wikidata.org/entity/Q1146531,Proceedings of the National Academy of Sciences
http://www.wikidata.org/entity/Q28681137,Health effects of air pollution on length of respiratory cancer survival,2013-09-03T00:00:00Z,http://www.wikidata.org/entity/Q15767009,BMC Public Health
http://www.wikidata.org/entity/Q28681506,Acute exposure to air pollution triggers atrial fibrillation,2013-08-27T00:00:00Z,http://www.wikidata.org/entity/Q2984355,Journal of the American College of Cardiology
http://www.wikidata.org/entity/Q28681594,Air pollution and the triggering of cardiac arrhythmias,2010-01-01T00:00:00Z,http://www.wikidata.org/entity/Q4626801,Current Opinion in Cardiology
http://www.wikidata.org/entity/Q28681902,Population dynamics and air pollution: the impact of demographics on health impact assessment of air pollution,2013-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15756877,Journal of Environmental and Public Health
http://www.wikidata.org/entity/Q28686893,Allergic diseases and air pollution,2013-07-01T00:00:00Z,http://www.wikidata.org/entity/Q26853895,Asia Pacific allergy
http://www.wikidata.org/entity/Q28686919,Mitochondrial genetic background modifies the relationship between traffic-related air pollution exposure and systemic biomarkers of inflammation,2013-01-01T00:00:00Z,http://www.wikidata.org/entity/Q564954,PLOS ONE
http://www.wikidata.org/entity/Q28708793,Air pollution and circulating biomarkers of oxidative stress,2011-03-01T00:00:00Z,http://www.wikidata.org/entity/Q15758373,"Air Quality, Atmosphere and Health"
http://www.wikidata.org/entity/Q28709203,"Ambient air pollution and autism in Los Angeles county, California",2013-03-01T00:00:00Z,http://www.wikidata.org/entity/Q1345904,Environmental Health Perspectives
http://www.wikidata.org/entity/Q28709529,Air pollution and heart failure: Relationship with the ejection fraction,2013-03-26T00:00:00Z,http://www.wikidata.org/entity/Q27723312,World journal of cardiology
http://www.wikidata.org/entity/Q28709969,Blood pressure changes and chemical constituents of particulate air pollution: results from the healthy volunteer natural relocation (HVNR) study,2013-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1345904,Environmental Health Perspectives
http://www.wikidata.org/entity/Q28710163,Air pollution: impact and prevention,2012-10-01T00:00:00Z,http://www.wikidata.org/entity/Q15753093,Respirology
http://www.wikidata.org/entity/Q28727336,Short-term association between sulfur dioxide and daily mortality: the Public Health and Air Pollution in Asia (PAPA) study,2010-04-01T00:00:00Z,http://www.wikidata.org/entity/Q5381161,Environmental Research
http://www.wikidata.org/entity/Q28727346,Effects of climatic changes and urban air pollution on the rising trends of respiratory allergy and asthma,2011-02-28T00:00:00Z,http://www.wikidata.org/entity/Q24040391,Multidisciplinary Respiratory Medicine
http://www.wikidata.org/entity/Q28727381,Indoor air pollution on nurseries and primary schools: impact on childhood asthma--study protocol,2012-06-13T00:00:00Z,http://www.wikidata.org/entity/Q15767009,BMC Public Health
http://www.wikidata.org/entity/Q28728005,Ambient air pollution and allergic diseases in children,2012-06-21T00:00:00Z,http://www.wikidata.org/entity/Q26853872,Korean journal of pediatrics
http://www.wikidata.org/entity/Q28728828,Air pollution and symptoms of depression in elderly adults,2012-07-01T00:00:00Z,http://www.wikidata.org/entity/Q1345904,Environmental Health Perspectives
http://www.wikidata.org/entity/Q28730637,Access rate to the emergency department for venous thromboembolism in relationship with coarse and fine particulate matter air pollution,2012-01-01T00:00:00Z,http://www.wikidata.org/entity/Q564954,PLOS ONE
http://www.wikidata.org/entity/Q28731770,Urban air pollution: a representative survey of PM(2.5) mass concentrations in six Brazilian cities,2012-03-01T00:00:00Z,http://www.wikidata.org/entity/Q15758373,"Air Quality, Atmosphere and Health"
http://www.wikidata.org/entity/Q28740523,Is volcanic air pollution associated with decreased heart-rate variability?,2010-02-23T00:00:00Z,http://www.wikidata.org/entity/Q27723622,Heart Asia
http://www.wikidata.org/entity/Q28741166,Is NAD(P)H oxidase a missing link for air pollution-enhanced obesity?,2010-12-01T00:00:00Z,http://www.wikidata.org/entity/Q4797542,"Arteriosclerosis, Thrombosis, and Vascular Biology"
http://www.wikidata.org/entity/Q28741452,Oxidative stress and air pollution exposure,2011-01-01T00:00:00Z,http://www.wikidata.org/entity/Q26853888,Journal of toxicology
http://www.wikidata.org/entity/Q28741477,Health effects of outdoor air pollution: approach to counseling patients using the Air Quality Health Index,2011-08-01T00:00:00Z,http://www.wikidata.org/entity/Q5029982,Le Médecin de famille canadien
http://www.wikidata.org/entity/Q28741972,Air pollution and stillbirth: a population-based case-control study in Taiwan,2011-03-29T00:00:00Z,http://www.wikidata.org/entity/Q1345904,Environmental Health Perspectives
http://www.wikidata.org/entity/Q28742767,Particulate matter air pollution causes oxidant-mediated increase in gut permeability in mice,2011-06-09T00:00:00Z,http://www.wikidata.org/entity/Q15724404,Particle and Fibre Toxicology
http://www.wikidata.org/entity/Q28742958,"Risk factors for indoor air pollution in rural households in Mauche division, Molo district, Kenya",2010-09-01T00:00:00Z,http://www.wikidata.org/entity/Q4689779,African Health Sciences
http://www.wikidata.org/entity/Q28743198,Indoor air pollution and health of children in biomass fuel-using households of Bangladesh: comparison between urban and rural areas,2011-02-15T00:00:00Z,http://www.wikidata.org/entity/Q15749802,Environmental Health and Preventive Medicine
http://www.wikidata.org/entity/Q28743422,Traffic air pollution and oxidized LDL,2011-01-19T00:00:00Z,http://www.wikidata.org/entity/Q564954,PLOS ONE
http://www.wikidata.org/entity/Q28743654,Pollution portrait: the fourth National-Scale Air Toxics Assessment,2011-06-01T00:00:00Z,http://www.wikidata.org/entity/Q1345904,Environmental Health Perspectives
http://www.wikidata.org/entity/Q28744261,Impact of air pollution on pulmonary function and respiratory symptoms in children. Longitudinal repeated-measures study,2010-11-24T00:00:00Z,http://www.wikidata.org/entity/Q15755469,BMC Pulmonary Medicine
http://www.wikidata.org/entity/Q28744360,Endothelial damage due to air pollution,2006-01-01T00:00:00Z,http://www.wikidata.org/entity/Q27020356,Heart International
http://www.wikidata.org/entity/Q28744545,The inflammatory bowel diseases and ambient air pollution: a novel association,2010-06-29T00:00:00Z,http://www.wikidata.org/entity/Q7713501,The American Journal of Gastroenterology
